"filename", "language", "Markdown", "JSON with Comments", "JavaScript", "TypeScript", "JSON", "Log", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\User\Desktop\Projects\sawaensemble\data\heroStates.ts", "TypeScript", 0, 0, 0, 92, 0, 0, 0, 0, 0, 2, 94
"c:\Users\User\Desktop\Projects\sawaensemble\data\media.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 2, 46
"c:\Users\User\Desktop\Projects\sawaensemble\data\workshops.ts", "TypeScript", 0, 0, 0, 104, 0, 0, 0, 0, 0, 2, 106
"c:\Users\User\Desktop\Projects\sawaensemble\hooks\useAudioPreview.ts", "TypeScript", 0, 0, 0, 116, 0, 0, 0, 0, 0, 23, 139
"c:\Users\User\Desktop\Projects\sawaensemble\hooks\usePrefersReducedMotion.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 7, 20
"c:\Users\User\Desktop\Projects\sawaensemble\lib\utils.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\User\Desktop\Projects\sawaensemble\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 7
"c:\Users\User\Desktop\Projects\sawaensemble\next.config.mjs", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\User\Desktop\Projects\sawaensemble\package-lock.json", "JSON", 0, 0, 0, 0, 6420, 0, 0, 0, 0, 1, 6421
"c:\Users\User\Desktop\Projects\sawaensemble\package.json", "JSON", 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"c:\Users\User\Desktop\Projects\sawaensemble\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\User\Desktop\Projects\sawaensemble\tailwind.config.ts", "TypeScript", 0, 0, 0, 75, 0, 0, 0, 0, 0, 3, 78
"c:\Users\User\Desktop\Projects\sawaensemble\tsconfig.json", "JSON with Comments", 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 15, 30, 11, 616, 6474, 366, 2467, 124, 6, 284, 10393
